,soil,theta,theta_rel,f,k_mean,k_lo,cs_lo,cf_cs,cs_plant,i_k,i_cs
129,loam,0.13849999999999998,0.7780898876404494,0.3198360000000001,150,59.576725060393116,0.2458704515466006,3012.134308918852,74.0594822652886,7.609568098170451e-14,6.60279420879039e-10
130,loam,0.14508333333333331,0.8150749063670412,0.3198360000000001,150,63.644262324826045,0.27812232463369857,2702.930123002042,75.17452091317767,8.037924537369642e-14,6.990662983774692e-10
131,loam,0.15166666666666664,0.8520599250936328,0.3198360000000001,150,67.58295995169946,0.3105175279537415,2449.4409694423166,76.05943546998442,8.443653699003544e-14,7.349176180744935e-10
132,loam,0.15825,0.8890449438202248,0.3198360000000001,150,71.37959986109715,0.34266935027813444,2239.434998178027,76.73857358157797,8.826581363725989e-14,7.677913067350806e-10
133,loam,0.16483333333333333,0.9260299625468165,0.3198360000000001,150,75.02494359582128,0.37425105650356205,2063.7766229246304,77.23705815168964,9.186933854341483e-14,7.977300312983922e-10
134,loam,0.17141666666666666,0.9630149812734082,0.3198360000000001,150,78.51325653043662,0.40499915711969736,1915.5500088063961,77.57961389872193,9.525247357251628e-14,8.248412251879321e-10
135,loam,0.178,1.0,0.3198360000000001,150,81.84179866263459,0.43471171191617075,1789.4547823135072,77.78969518160835,9.842287248698537e-14,8.492781113421005e-10
136,silt,0.05449999999999999,0.1841216216216216,0.3198360000000001,150,9.050606465135473,0.0055769502279856276,66229.06172116326,36.93561808651157,1.34561584169489e-14,9.877135970319748e-11
137,silt,0.06599999999999999,0.22297297297297294,0.3198360000000001,150,14.36063259577003,0.014221281525332308,31062.423969459924,44.174747612891984,2.0989138534664345e-14,1.5870488980491516e-10
138,silt,0.07749999999999999,0.2618243243243243,0.3198360000000001,150,20.56020750358783,0.029496930755551598,17243.876775561588,50.864143920600455,2.946729541267275e-14,2.298642330206376e-10
139,silt,0.089,0.30067567567567566,0.3198360000000001,150,27.445941504168868,0.05304073096806461,10737.319130650843,56.951525532710484,3.850634855801635e-14,3.0955510026963193e-10
140,silt,0.10049999999999999,0.33952702702702703,0.3198360000000001,150,34.792926713983924,0.08564897898300106,7277.0410002781955,62.32711316912642,4.7739658811461106e-14,3.9419866264035594e-10
141,silt,0.11199999999999999,0.37837837837837834,0.3198360000000001,150,42.3725359623281,0.12698350374047912,5267.220392314266,66.88501003893666,5.684880717202122e-14,4.797585535569672e-10
142,silt,0.12349999999999998,0.4172297297297297,0.3198360000000001,150,49.97157029011688,0.17559113027529102,4018.780490508702,70.56622086567114,6.558407945336774e-14,5.623667813779158e-10
143,silt,0.13499999999999998,0.45608108108108103,0.3198360000000001,150,57.40821574607394,0.22923803318070998,3200.9770425216707,73.37856814842738,7.37720446669908e-14,6.389129222340667e-10
